query	service	action	params
播放The Soulboy Collection专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'the soulboy collection', 'norm': 'the soulboy collection', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放The Truth About Love专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'the truth about love', 'norm': 'the truth about love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Today's the Day专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "today's the day", 'norm': "today's the day", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放V专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'v', 'norm': 'v', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放What Makes You Beautiful专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'what makes you beautiful', 'norm': 'what makes you beautiful', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Whistle专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'whistle', 'norm': 'whistle', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放哎呦，不错哦专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '哎呦不错哦', 'norm': '哎呦不错哦', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放爱，不解释专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '爱不解释', 'norm': '爱不解释', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放爱，来的刚好专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '爱来的刚好', 'norm': '爱来的刚好', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放爱不解释专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '爱不解释', 'norm': '爱不解释', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放爱的时刻自选辑专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '爱的时刻自选辑', 'norm': '爱的时刻自选辑', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放暗影主宰专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '暗影主宰', 'norm': '暗影主宰', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放不爱最大专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '不爱最大', 'norm': '不爱最大', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放不如吃茶去专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '不如吃茶去', 'norm': '不如吃茶去', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放初爱专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '初爱', 'norm': '初爱', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放辞旧专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '辞旧', 'norm': '辞旧', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放当爱已成往事专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '当爱已成往事', 'norm': '当爱已成往事', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放等我，再见专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '等我再见', 'norm': '等我再见', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放第七感专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '第七感', 'norm': '第七感', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放电音之王专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '电音之王', 'norm': '电音之王', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放范特西专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '范特西', 'norm': '范特西', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放父亲专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '父亲', 'norm': '父亲', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放歌手专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '歌手', 'norm': '歌手', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放涵剧先森专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '涵剧先森', 'norm': '涵剧先森', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放好安静专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '好安静', 'norm': '好安静', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放好久不去KTV专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '好久不去ktv', 'norm': '好久不去ktv', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放回头爱专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '回头爱', 'norm': '回头爱', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放回音Echo专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '回音echo', 'norm': '回音echo', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放火花专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '火花', 'norm': '火花', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放火星电台专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '火星电台', 'norm': '火星电台', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放机器男友专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '机器男友', 'norm': '机器男友', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放建筑师的梦想专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '建筑师的梦想', 'norm': '建筑师的梦想', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放可疑专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '可疑', 'norm': '可疑', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放跨时代专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '跨时代', 'norm': '跨时代', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放李荣浩专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '李荣浩', 'norm': '李荣浩', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放厉害了！我的歌专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '厉害了我的歌', 'norm': '厉害了我的歌', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放每一刻都是崭新的专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '每一刻都是崭新的', 'norm': '每一刻都是崭新的', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放明天过后专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '明天过后', 'norm': '明天过后', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放模特专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '模特', 'norm': '模特', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放魔杰座专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '魔杰座', 'norm': '魔杰座', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放拿得起放不下专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '拿得起放不下', 'norm': '拿得起放不下', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放那个静默的阳光午后专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '静默的阳光午后', 'norm': '静默的阳光午后', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放男朋女友专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '男朋女友', 'norm': '男朋女友', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放你的陈奕迅专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '陈奕迅', 'norm': '陈奕迅', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放你的名字专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '名字', 'norm': '名字', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放偶像专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '偶像', 'norm': '偶像', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放徘徊专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '徘徊', 'norm': '徘徊', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放七里香专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '七里香', 'norm': '七里香', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放青春修炼手册专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '青春修炼手册', 'norm': '青春修炼手册', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放请你原谅我专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '请你原谅我', 'norm': '请你原谅我', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放秋故事专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '秋故事', 'norm': '秋故事', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放秋夜吟专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '秋夜吟', 'norm': '秋夜吟', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放燃点专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '燃点', 'norm': '燃点', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放让世界毁灭专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '让世界毁灭', 'norm': '让世界毁灭', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放认了吧专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '认了吧', 'norm': '认了吧', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放认真的老去专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '认真的老去', 'norm': '认真的老去', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放如也专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '如也', 'norm': '如也', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放绅士专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '绅士', 'norm': '绅士', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放神犬小七专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '神犬小七', 'norm': '神犬小七', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放十二新作专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '十二新作', 'norm': '十二新作', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放十一月的萧邦专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '十一月的萧邦', 'norm': '十一月的萧邦', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放时光·漫步专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '时光漫步', 'norm': '时光漫步', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放熟悉的味道专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '熟悉的味道', 'norm': '熟悉的味道', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放谁叫我们是女人专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '谁叫我们是女人', 'norm': '谁叫我们是女人', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放她说专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '她说', 'norm': '她说', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放淘气爷孙专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '淘气爷孙', 'norm': '淘气爷孙', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放天籁之声专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '天籁之声', 'norm': '天籁之声', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放天生歌姬专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '天生歌姬', 'norm': '天生歌姬', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放天生骄傲专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '天生骄傲', 'norm': '天生骄傲', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放完美旅行专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '完美旅行', 'norm': '完美旅行', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放围炉音乐会第1期专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '围炉音乐会第1期', 'norm': '围炉音乐会第1期', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放吻别专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '吻别', 'norm': '吻别', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放我的歌声里专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '歌声里', 'norm': '歌声里', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放我的秘密情人专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '秘密情人', 'norm': '秘密情人', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放我管你专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '我管你', 'norm': '我管你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放我很忙专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '我很忙', 'norm': '我很忙', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放我们专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '我们', 'norm': '我们', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放我们生来就是孤独专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '我们生来就是孤独', 'norm': '我们生来就是孤独', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放我是星星的孩子专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '我是星星的孩子', 'norm': '我是星星的孩子', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放无法忘记的美专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '无法忘记的美', 'norm': '无法忘记的美', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放向天再要500话专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '向天再要500话', 'norm': '向天再要500话', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放小宇宙专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '小宇宙', 'norm': '小宇宙', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放新地球专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '新地球', 'norm': '新地球', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放新鲜专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '新鲜', 'norm': '新鲜', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放信仰在空中飘扬专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '信仰在空中飘扬', 'norm': '信仰在空中飘扬', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放星月神话专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '星月神话', 'norm': '星月神话', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放兄与弟专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '兄与弟', 'norm': '兄与弟', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放熊出没之奇幻空间专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '熊出没之奇幻空间', 'norm': '熊出没之奇幻空间', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放旋风少女专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '旋风少女', 'norm': '旋风少女', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放寻雾启示专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '寻雾启示', 'norm': '寻雾启示', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放一万个舍不得专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '万个舍不得', 'norm': '万个舍不得', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放依然范特西专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '依然范特西', 'norm': '依然范特西', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放意外专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '意外', 'norm': '意外', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放因你而在专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '因你而在', 'norm': '因你而在', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放音乐傲骨专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '音乐傲骨', 'norm': '音乐傲骨', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放拥抱你专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '拥抱你', 'norm': '拥抱你', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放宅男专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '宅男', 'norm': '宅男', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放真善美专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '真善美', 'norm': '真善美', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放栀子花开 电影原声带专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '栀子花开电影原声带', 'norm': '栀子花开电影原声带', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放中国好声音第四季专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '中国好声音第四季', 'norm': '中国好声音第四季', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放庄心妍情歌精选集专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '庄心妍情歌精选集', 'norm': '庄心妍情歌精选集', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放自定义专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '自定义', 'norm': '自定义', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放最美的拥有专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '最美的拥有', 'norm': '最美的拥有', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放7妹作曲的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '7妹作曲', 'norm': '7妹作曲', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Alan Menken作曲的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'alan menken作曲', 'norm': 'alan menken作曲', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Andy Love作曲的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'andy love作曲', 'norm': 'andy love作曲', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

